,商品名称,商品编号,店铺,商品毛重,品牌,搭配主板,搭配主板(Intel),搭配主板(AMD),接口,板型,处理器,产品净重,产品尺寸（mm）,核心数,制程工艺,质保期,型号,是否自带风扇,是否支持核显,适用场景,主频,三级缓存,功率,商品产地,适用游戏,线程数量,类型,二级缓存,质保年限,图案,电压
33,英特尔i7-11700F,100010283145,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,带风扇,不支持核显,游戏/影音,2.50GHz,16MB,65W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
34,英特尔i7-11700F,100010283145,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,带风扇,不支持核显,游戏/影音,2.50GHz,16MB,65W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
35,英特尔i7-11700,100018204790,,325.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,带风扇,支持核显,游戏/影音,2.50GHz,16MB,65W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
36,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,其他,其他,马来西亚/越南/中国大陆,,,,,,,
37,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,,,
38,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,,,
39,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,,,
40,AMD5600X、5800X、5900X，5950X,10037793912879,锐星电脑DIY旗舰店,1.0kg,AMD,X570,,,AMDAM4,ATX（标准型）,锐龙9,1.5kg,300*300*200,,,,,,,,,,,,,,,,,,
41,AMD锐龙55600X处理器,100016046824,,440.00g,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,六核,7纳米,3年质保,锐龙R5,带风扇,不支持核显,家用/办公,3.7GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,12线程,家用/办公,3MB,,,
42,英特尔（Intel）i79700K酷睿八核盒装CPU处理器中文原盒三年质保官方标配,35746089017,恒懿电脑专营店,2.0kg,英特尔(Intel),,,,INTEL1151（九代）,,英特尔,,,八核,14纳米,3年质保,酷睿i7,不带风扇,支持核显,,3.6GHZ,其他,95W,,,,,,,,
43,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,,,
