,商品名称,商品编号,商品毛重,商品产地,型号,体型,机箱类型,支持主板,固态硬盘位,音频接口,硬盘位,光驱位,面板接口,箱体净重(kg),CPU散热器限高,材质,箱体长宽高（mm）,显卡（连供电头总长度）限长,标配风扇数,风扇位,水冷类型,机箱重量,颜色,品牌,电源位置,电源类型,店铺,RGB光控,导风管,标配电源,静音棉,高达/变形种类,外观造型,货号
13,酷冷至尊TD500MESH白,100017052122,8.15kg,中国大陆,,中型机箱（中塔机箱）,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,4个,1个耳机接口；1个麦克风接口,4个,0,2xUSB3.2Gen1(USB3.0)、3.5mm耳机接口x1、3.5mm麦克风接口x1,6.95,165mm,ABS塑料；亚克力；钢化玻璃；钢；SPCC钢材,493x217x469mm,≤41cm,3个,7个,360冷排，240冷排，120冷排,5-8kg,白色,,,,,支持RGB光控,,,,,,
14,酷冷至尊TD500MESH白,100017052122,8.15kg,中国大陆,,中型机箱（中塔机箱）,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,4个,1个耳机接口；1个麦克风接口,4个,0,2xUSB3.2Gen1(USB3.0)、3.5mm耳机接口x1、3.5mm麦克风接口x1,6.95,165mm,ABS塑料；亚克力；钢化玻璃；钢；SPCC钢材,493x217x469mm,≤41cm,3个,7个,360冷排，240冷排，120冷排,5-8kg,白色,,,,,支持RGB光控,,,,,,
15,万代(BANDAI)高达拼插拼装模型HGUC1/144敢达拼插191新生元祖5057403,11176294444,350.00g,日本,,,,,,,,,,,,塑料,,,,,,,混合色,,,,哆啦动漫专营店,,,,,拼装型,高达形象,
16,游戏帝国布洛芬C1,100017987844,6.65kg,中国大陆,布洛芬C1,中型机箱（中塔机箱）,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,HD；1个耳机接口；1个麦克风接口,4个,0,"USB2.0,USB3.0,灯光键,开机键,耳机接口,麦克风接口",4.9kg,170mm,SPCC钢材,421x210x460mm,≤34cm,1个,8个,360冷排，280冷排，240冷排，120冷排,<5kg,黑色,GAMEMAX,下置,不带电源,,支持RGB光控,不支持导风管,不带电源,没有静音棉,,,
17,酷冷至尊MB501LARGB,100013313676,7.86kg,中国大陆,,中型机箱（中塔机箱）,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,4个,1个耳机接口；1个麦克风接口,6个,0,"USB3.0x1,USB2.0x1",6.7KG,165mm,ABS塑料；钢化玻璃；钢,499.5mmx217mmx468.5mm,≤41cm,2个,7个,360冷排，280冷排，240冷排，120冷排,5-8kg,黑色,,,,,,,,,,,
18,先马鲁班1,100008792814,8.34kg,中国大陆,鲁班1,中型机箱（中塔机箱）,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,HD；1个耳机接口；1个麦克风接口,4个,0,USB2.0*2、USB3.0*1、HD音频接口,约7.1kg,165mm,钢化玻璃；SPCC钢材,458（长）*215（宽）*482（高）mm,≤38cm,0,6个,360冷排，280冷排，240冷排，120冷排,5-8kg,黑色,先马（SAMA）,下置,,,,,,,,,
19,华硕GT501VC,100006254438,11.66kg,中国大陆,,,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,7个,1个耳机接口；1个麦克风接口,1个,0,暂无,9.9,180mm,钢化玻璃,552x251x545,≤38cm,0,0个,360冷排，280冷排，240冷排，120冷排,8-12kg,黑色,,,,,,,,,,,
20,九州风神CL500,100014680322,9.65kg,中国大陆,,中型机箱（中塔机箱）,玻璃侧透机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,1个耳机接口；1个麦克风接口,4个,0,USB3.0×2、Audio×1、Mic×1,8.4,165mm,ABS塑料；钢化玻璃；SPCC钢材,473mm×226mm×519mm(L×W×H),≤33cm,0,6个,,,,,,,,,,,,,,
21,安钛克DA601复仇者X,100002404996,9.66kg,中国大陆,复仇者,中型机箱（中塔机箱）,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,4个,HD；1个耳机接口；1个麦克风接口,4个,0,USB3.0x2，MIC/AUDIO，开关键，重启键，ARGB控制按钮,7.8,165mm,钢化玻璃；SPCC钢材,480*220*500,≤40cm,2个,7个,360冷排，280冷排，240冷排，120冷排,8-12kg,黑色,,,不带电源,,,,,,,,
22,华硕ROGZ11,100013458670,11.54kg,中国大陆,,MINI机箱,玻璃侧透机箱，铝质机箱,MINI-ITX（迷你型）,2个,1个耳机接口；1个麦克风接口,3个,0,1个USB3.2TypeC2个USB3.2TypeA2个USB2.01个耳机+麦克风,8.73,130mm,ABS塑料；钢化玻璃；钢；铝,194*531*386,≤32cm,3个,5个,240冷排，120冷排,8-12kg,黑色,,下置,不带电源,,支持RGB光控,不支持导风管,,没有静音棉,,,
