,商品名称,商品编号,店铺,商品毛重,货号,商品产地,热管数量,水冷类型,型号,风量,散热片材质,散热器高度,电源接口,散热器尺寸,散热方式,风扇转速（RPM）,电压,类型,建议机箱,灯效,品牌,噪音(dB(A)),兼容接口,背板材质,类别,风冷鳍片,风冷底座
40,安耐美虹彩晶凌240-RGB,100010636452,,1.835kg,,中国大陆,2热管,240冷排,LIQMAXIII240-RGB,22.5-72.1CFM,铝,25mm,4pin,274x120x27毫米,水冷,"500-1,600RPM",12V,一体式水冷散热器,ITX机箱,RGB,一体式水冷散热器,14-27分贝（A）,INTELLGA2066，INTEL1151（九代），AMD其他，INTEL其他，INTELLGA1200，INTEL1151（八代），AMDAM4，AMDFM2＋，整合CPU主板,金属,Intel平台散热器,回流焊工艺,铜底焊接
41,大水牛寒战120水冷,100020460176,,1.02kg,,中国大陆,,120冷排,寒战120水冷,54.6CFMMAX,,52mm,4pin,150*120*52mm,水冷,800-1800RPM±10%,12Vdc,一体式水冷散热器,宽度大于180mm,RGB,大水牛（BUBALUS）,,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,,Intel平台散热器,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,武极定制12CM炫光18灯LED风扇台式电脑主机降温机箱风扇VTG-RGB赤魂默认1,11258297291,武极电脑DIY旗舰店,100.00g,,,,,,,,5mm,4pin,0,风冷,0,12v,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,九州风神堡垒240V2,100013580017,,7.0kg,,中国大陆,,240冷排,堡垒240V2,69.34CFM,铝,71mm,4pin,水泵：86X75X71mm,水冷,500-1800,12V,一体式水冷散热器,宽度大于180mm,RGB,九州风神DEEPCOOL,＜30(dB(A)),INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，AMDFM2＋,塑料,,,
46,武极定制12CM炫光18灯LED风扇台式电脑主机降温机箱风扇VTG-RGB赤魂默认1,11258297291,武极电脑DIY旗舰店,100.00g,,,,,,,,5mm,4pin,0,风冷,0,12v,,,,,,,,,,
47,九州风神堡垒/水元素幻彩120/240/360CPU一体式水冷散热器泄压冷排ARGB风扇堡垒360RGB版V2+MG-8高导热硅脂,10034106451596,京天DIY电脑旗舰店,2.0kg,,中国大陆,无热管,360冷排,120/240/360,85,铜,27mm,4pin,282x120x27mm,水冷,500~1800,12VDC（水泵额定电压）,,,,,,,,,,
48,武极定制12CM炫光18灯LED风扇台式电脑主机降温机箱风扇VTG-RGB赤魂默认1,11258297291,武极电脑DIY旗舰店,100.00g,,,,,,,,5mm,4pin,0,风冷,0,12v,,,,,,,,,,
49,九州风神冰凌MINI旗舰版,302653,,320.00g,,中国大陆,2热管,,冰凌MINI旗舰版,,铝,112mm,3pin,119X75X112mm,风冷,2200±10%RPM,12VDC,风冷散热器,ITX机箱,无光,九州风神DEEPCOOL,,INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,穿片工艺,热管直触
50,京天（KOTIN）定制12cm机箱风扇/台式电脑主机静音LED炫光/机箱散热风扇冰魄蓝双光圈,67048883433,京天DIY电脑旗舰店,0.888kg,,,,,120,800,阻燃,22mm,4pin,120*25,风冷,1200RPM±10%,12V,机箱风扇,,,,,,,,,
51,赛普雷（SOPLAY）冷山CPU散热器台式电脑风扇（四热管/12CM风扇）白光（仅支持INTEL平台）.,60149720885,寒山居电脑专营店,1.0kg,,,,,冷山,,铝,其他,4pin,其他,风冷,其他,12VDC,风冷散热器,,,,,,,Intel平台散热器,,
52,九州风神玄冰400,598827,,0.73kg,,中国大陆,4热管,,玄冰400,56.5CFM,纯铜热管，铝鳍片,155mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC,风冷散热器,宽度大于180mm,RGB,九州风神DEEPCOOL,≤27.8dB(A),INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,穿片工艺,热管直触
53,酷冷至尊（CoolerMaster）冰神B360ARGB,66277432950,PC大佬DIY电脑旗舰店,2.5kg,,,,360冷排,冰神B360ARGB,62CFM(Max),铝,30mm,4pin,394x119.6x27.2mm,水冷,650~1800RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,酷冷CoolerMaster,8~27dBA,,,,,
54,华硕ROG玩家国度飞龙2代240龙神360台式机电脑主机一体式CPU水冷散热器破冰手TUF240RGB水冷,69253293903,和煦电脑DIY专营店,1.0kg,,中国大陆,,,,,,20mm,4pin,80x80x45mm,水冷,800~2500RPM+/-10%,待定,一体式水冷散热器,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,ID-COOLINGXF-12025-SD-K,100005667115,,160.00g,,中国大陆,,,XF-12025-SD-K,,,120mm,4pin,120×120×25mm,风冷,700-1800RPM,12Vdc,机箱风扇,宽度大于180mm,无光,,,,,机箱风扇,,
58,超频三七星瓢虫v6,2361996,,365.00g,,中国大陆,4热管,,七星瓢虫V6,52.62CFM,铝,68mm,3pin,120(L)x120(W)x68(H)mm,风冷,1800RPM±10%,12VDC,风冷散热器,ITX机箱,无光,超频三PCCOOLER,22dBA±10%,INTEL1151（九代），AMD其他，INTEL其他，INTELLGA1200，INTEL1151（八代），AMDAM4，AMDFM2＋,,,穿片工艺,热管直触
59,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,九州风神玄冰400,598827,,0.73kg,,中国大陆,4热管,,玄冰400,56.5CFM,纯铜热管，铝鳍片,155mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC,风冷散热器,宽度大于180mm,RGB,九州风神DEEPCOOL,≤27.8dB(A),INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,穿片工艺,热管直触
61,酷冷至尊MLW-D24M-A16PA-C1,100005187628,,1.775kg,,中国大陆,,240冷排,,,铝,27mm,4pin,277x119.6x27mm,水冷,650-1800RPM±10%,12VDC,一体式水冷散热器,,ARGB,酷冷CoolerMaster,,INTELLGA2066，INTEL1151（九代），INTELLGA1200，INTEL1151（八代），AMDAM4,,,,
62,赤核RX-0360一体式水冷,100018845214,,2.085kg,,中国大陆,,360冷排,高达联名独角兽款360一体式水冷,35.8（MAX）,铝质水冷排,53mm,3pin,395X120x27(mm),水冷,800-1600RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,赤核,27（MAX）,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，整合CPU主板,,,,
63,酷冷至尊MLW-D24M-A16PA-C1,100005187628,,1.775kg,,中国大陆,,240冷排,,,铝,27mm,4pin,277x119.6x27mm,水冷,650-1800RPM±10%,12VDC,一体式水冷散热器,,ARGB,酷冷CoolerMaster,,INTELLGA2066，INTEL1151（九代），INTELLGA1200，INTEL1151（八代），AMDAM4,,,,
64,酷冷至尊暴雪T400iA风冷台式机电脑CPU散热器温控风扇AMD115x1200T400i红光版支持英特尔i3i5i7,25056489901,PC大佬DIY电脑旗舰店,0.85kg,,中国大陆,4热管,,T400i,66.3CFM±10%,4根直触热管/铝鳍片,160mm,4pin,116x60x160mm,风冷,600~1600RPM(PWM)±10%,12VDC,风冷散热器,宽度大于180mm,单光,酷冷CoolerMaster,9~31dBA,INTEL1151（九代），INTELLGA1200，INTEL1151（八代），AMDAM4,塑料,,穿片工艺,热管直触
65,鑫谷（Segotep）冰酷/冰封120S/240/360RGBCPU一体式水冷散热器冰酷240S+光晓RGB风扇*2,10034107708626,京天DIY电脑旗舰店,2.0kg,,中国大陆,,,水冷,800,铝,25mm,4pin,397x120x27mm,水冷,800-1800RPM±10%,12VDC,,,,,,,,,,
